director_id,director_name
1,Lee Jang-Soo
2,Milutin 'Bata' Nikoli  
3,Alan Clayton
4,Reza Mirlohi
5,Armando Molina II
6,Silvio Narizzano
7,Unknown
8,Thomas H. Ince
9,Delphine Lehericey
10,Cathy Brady
11,Lana Gogoberidze
12,J. Searle Dawley
13,Howard Dittrich
14,Henry Riedel
15,David E. Teixeira
16,Yutaka Akiyama
17,Alexej Getmann
18,Diana Arders
19,Anahanbee
20,Sylvestre Meinzer
21,S.V. Krishna Reddy
22,Eve Levy
23,Ian Kim
24,Lauren Fuchs
25,Asher Meron
26,Sophia Evans
27,Timothy Lim
28,Bella Rahi
29,Marion Ochoa
30,Olivia Uzielli
31,Raisa Effress
32,Katie Hadsock-Longarzo
33,Hank Schoen
34,Ruben Barrett
35,Kale Brock
36,Albina Griniute
37,Lisa F. Jackson
38,Sarah Teale
39,Samgar Turkenburg
40,Bernard Vorhaus
41,Cathy Stevulak
42,Courtney 'Baynes' Baynes
43,Karthik Yogi
44,Bel Bechara
45,Sandro Serpa
46,Andrea Ashton
47,Andrew Thomas
48,Calum Waddell
49,Mike Nichols
50,Yuda Kurniawan
51,Dima Barch
52,David Roofthooft
53,Jack Shillingford
54,Brian Desmond Hurst
55,Julia Verdin
56,Fernando Carasa
57,Daniel Espinosa
58,George Archainbaud
59,Gotot Prakosa
60,Teck
61,Bertrand Bonello
62,Francisco Garcia
63,Vannah Smalley
64,Paul Rotha
65,Seenu Ramasamy
66,Sam Goldie
67,Euan Aitken
68,Rino Stefano Tagliafierro
69,Donghwi Kwon
70,Tracy Kleeman
71,Mark Chapman
72,Mark Redhead
73,Keir Beck
74,Srdan Golubovi  
75,G. Fernandez
76,Michael Faust
77,Paul Leach
78,Rosa von Praunheim
79,Markus Tiarks
80,Franti  ek Laurin
81,Jan   vankmajer
82,Takehiko Shinjo
83,Chatchai Hongsirikul
84,D. Ross Lederman
85,Lloren   Soler
86,Kim Eunsol
87,Austin Thomas Wood
88,Justina Mitkut  
89,Carlos Balbuena
90,Marc All  gret
91,Aldo Filiberto
92,Billy Wilder
93,Ibtisam Mara'ana
94,Werner Jacobs
95,Jude Pollitt
96,Brad Anderson
97,Olga Rakhmanova
98,Ikuta Hirokazu
99,Solange T  rac
100,John G. Blystone
101,Y  ichi Higashi
102,Minoru Murata
103,Ryushin Suzuki
104,Sonam Nair
105,J  r  me Lefdup
106,V  ro Goyo
107,Dain Said
