writer_id,writer_name
1,Song Ji-na
2,Missing
3,Greg McGee
4,Dean Parker
5,Reza Mirlohi
6,Armando Molina II
7,Ray Galton
8,Joe Orton
9,Alan Simpson
10,Fanny Burdino
11,Delphine Lehericey
12,Cathy Brady
13,Zaira Arsenishvili
14,Lana Gogoberidze
15,David E. Teixeira
16,Go Nagai
17,Yutaka Akiyama
18,Anahanbee
19,Sylvestre Meinzer
20,Diwakar Babu
21,Roland Kibbee
22,Cathy Stevulak
23,Karthik Yogi
24,Arunraja Kamaraj
25,Jim Harrison
26,Yuda Kurniawan
27,Dima Barch
28,Richard O'Hare
29,Jack Shillingford
30,Brian Desmond Hurst
31,David Plunkett Greene
32,Julia Verdin
33,Rhett Reese
34,Clarence E. Mulford
35,Gerald Geraghty
36,Teck
37,Henry James
38,Benjamin Charbit
39,Bertrand Bonello
40,Guillaume Br  aud
41,Francisco Garcia
42,Gabriel Campos
43,Paul Rotha
44,John Creasey
45,Seenu Ramasamy
46,Sam Goldie
47,Euan Aitken
48,Tracy Kleeman
49,Melina Pota Koljevi  
50,Sr  an Koljevi  
51,Nenad Teofilovi  
52,Michael Faust
53,Franti  ek Laurin
54,Zden  k   t  p  nek
55,Charles Dickens
56,Jan   vankmajer
57,Lewis Carroll
58,Noriaki Sugihara
59,Phuwanit Pholdee
60,Richard Weil
61,G.A. Snow
62,Jack Boyle
63,Richard Wormser
64,Lloren   Soler
65,Austin Thomas Wood
66,Marc All  gret
67,Andr   Gide
68,Aldo Filiberto
69,Afshin Sherkat
70,Farid Mostafavi
71,Richard D'Ovidio
72,Ivan Turgenev
73,Olga Rakhmanova
74,Ikuta Hirokazu
75,Colette
76,Clinton Stagg
77,Virginia Hudson Brightman
78,Donald W. Lee
79,Machiko Nasu
80,Junichi Watanabe
81,Bin Kisaragi
82,Al Jafree Md Yusop
83,Huzir Sulaiman
84,Sylvia Thalberg
85,Frank Butler
86,Charles E. Scoggins
87,Willard Mack
88,Savas Georgalis
89,Jesse Evans
90,Teguh Karya
91,J.J. Abrams
92,Joaqu  n Dicenta
93,Jos   Buchs
94,Chaz Fenwick
95,Laura Hadsund Baarstr  m
96,Anastacia Zofia Kolle
97,Martijn van Nellestijn
98,D.W. Griffith
99,Rabah Zanoun
100,Sandra Gjorgieva
101,Tamara Kotevska
102,Arisa Kaneko
103,DeWitt Sage
104,Helen Whitney
105,Basma Alsharif
106,Lee Chang-moo
107,Andrzej Barszczy  ski
108,Edgar Allan Woolf
109,Jerome Cady
110,Stanley Roberts
111,Kazimierz Karabasz
112,Jos   Ram  n Larraz
113,John Hughes
114,Joanne Heffernan
115,Sophia Tamburrini
116,David Walliams
117,Andrew Dawson
118,Steve Dawson
119,Tim Inman
120,Jackson Brown
121,Nikhail Asnani
122,Charles Munson
123,P  ivi Hartzell
124,Jukka Kemppinen
125,Hans Christian Andersen
126,Juha Siltanen
127,J.E. Horvitz
128,Alice D.G. Miller
129,Dmytro Bukhowetzkyi
130,Su Liang
131,Takahisa Zeze
132,Kish   Izuchi
133,Gian Arre
134,Maria Solrun
135,Kenneth Patterson
136,Zac Milano
137,Humza Syed
138,Zach Kleyn
139,Chunsheng Chen
140,Peter Lynch
141,Tracy Letts
142,Mani Payne
143,Christophe Honor  
144,Ovide
145,Claude Desailly
146,Louis Martin
147,Jean-Pierre Marchand
148,Andrew Yerlett
149,Chris Williamson
150,Tom Ryan
151,Chun-Yu Wu
152,Kerr Hsu
153,Sofie G  llersp  ng
154,Dale Launer
155,Gerry Day
156,Peter J. Thompson
157,E.M. Forster
158,Thomas Hescott
159,Pete Lawson
160,Matthew Baldwin
161,Mike Chantaj
162,Sonya Reynolds
163,Fred Henry III
164,Steve Deery
165,Jean Mathieson
166,Al Guest
167,Walter Bockmayer
168,Mark Hewitt
169,Noah O'Sullivan
170,Angus Kilgour
171,Jamie Miller
172,Miroel Silveira
173,Gale  o Coutinho
174,Alberto Cavalcanti
175,Oswaldo Moles
176,Pedro Pires
177,Ethan Batista
178,Tudor Voican
179,Loredana Novak
180,Dorian Bogu    
181,Nae Cosmescu
182,Aurel Baranga
183,Monte Merrick
184,Uriel Luna
185,Rania Stephan
186,Jairus Marcelo
187,Svyatoslav Ushakov
188,Tommy Shenefield
189,Jean Anouilh
190,James Young
191,Winthrop Ames
192,Max Mack
193,Hans Steinhoff
194,Robert Liebmann
195,Naoko Nishida
